t	y	u	r
584	1.9998672800749862	-0.00045418647258854	2.0
588	1.9997503551347402	-0.0008543205003434594	2.0
592	1.999530420417433	-0.001606968858287605	2.0
596	1.999116725274419	-0.0030226933691341103	2.0
600	1.998338568585706	-0.005685657912212496	2.0
604	1.996874863143632	-0.010694669272376636	2.0
608	1.9941216469183758	-0.020116572718843498	2.0
612	1.9889428729894687	-0.037839084841803525	2.0
616	1.9792016477414494	-0.07117496412915053	2.0
620	1.9608784943010207	-0.13387944079422123	2.0
624	1.9264128143220323	-0.25182597401594503	2.0
628	1.861583193139411	-0.4736822981398048	2.0
632	1.7396392829875034	-0.8909919655738118	2.0
636	1.510263930303463	-1.675947540861611	2.0
640	1.0788110405823879	-3.152441624892959	0.0
644	0.5735334466597455	-1.6759475408616127	0.0
648	0.3049103152113149	-0.890991965573815	0.0
652	0.16210092168770615	-0.47368229813980883	0.0
656	0.08617848429889098	-0.251825974015949	0.0
660	0.04581547765881558	-0.13387944079422584	0.0
664	0.02435710038513259	-0.07117496412915478	0.0
668	0.012949081172744842	-0.03783908484180761	0.0
672	0.006884181637689224	-0.020116572718847637	0.0
676	0.003659870240108836	-0.010694669272380667	0.0
680	0.001945714230025571	-0.005685657912216925	0.0
684	0.0010344093141574618	-0.0030226933691385577	0.0
688	0.0005499279456004418	-0.0016069688582920172	0.0
692	0.00029236081039489244	-0.0008543205003477723	0.0
696	0.00015542916876007948	-0.0004541864725930089	0.0
700	8.263154857518571e-05	-0.0002414613155162547	0.0
704	4.392980337361026e-05	-0.00012836922807932984	0.0
708	2.3354610423025346e-05	-6.824554352505245e-05	0.0
712	1.2416122694661032e-05	-3.6281703027376474e-05	0.0
716	6.6008424165681026e-06	-1.92886144145293e-05	0.0
720	3.509237292305658e-06	-1.025449785942048e-05	0.0
724	1.865632549764051e-06	-5.451647489392742e-06	0.0
728	9.918351399909829e-07	-2.8982852943182448e-06	0.0
732	5.272940654368606e-07	-1.54082920100382e-06	0.0
736	2.8032788374452816e-07	-8.191583586662208e-07	0.0
740	1.4903207771781973e-07	-4.3549305407094235e-07	0.0
744	7.923066410530674e-08	-2.3152324103357107e-07	0.0
748	4.212180734776099e-08	-1.2308579577038228e-07	0.0
752	2.2393450929321647e-08	-6.543667506943075e-08	0.0
756	1.1905174076105276e-08	-3.4788387981317714e-08	0.0
760	6.329247454391858e-09	-1.8494673073801907e-08	0.0
764	3.364902163705683e-09	-9.832329868159955e-09	0.0
768	1.7889740704795534e-09	-5.227055615288657e-09	0.0
772	9.511952296223096e-10	-2.778597227583377e-09	0.0
776	5.058768196536174e-10	-1.4766586063465097e-09	0.0
780	2.692691577000641e-10	-7.84026819398265e-10	0.0
784	1.4374191481917089e-10	-4.1490440507804523e-10	0.0
788	7.749936338099421e-11	-2.1698208298224646e-10	0.0
792	4.3208144721232644e-11	-1.0859207763931535e-10	0.0
796	2.671883134481132e-11	-4.5009920752934755e-11	0.0
