pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm
50908.0,49065.0,52085.0,50797.0
51820.0,48971.0,52684.0,49809.0
59632.0,58933.0,39627.0,33203.0
55498.0,50339.0,48452.0,47825.0
53373.0,51149.0,50463.0,49083.0
53150.0,50804.0,51930.0,49004.0
49300.0,49186.0,55036.0,49959.0
50927.0,49571.0,53882.0,49622.0
52474.0,48120.0,53156.0,50810.0
51331.0,48114.0,54339.0,50069.0
50149.0,49505.0,51474.0,53279.0
49268.0,50903.0,55812.0,49170.0
60247.0,59563.0,41253.0,33875.0
53124.0,53030.0,52592.0,46957.0
54244.0,52984.0,53043.0,48743.0
53117.0,53552.0,53524.0,48514.0
51348.0,51460.0,55506.0,50967.0
49914.0,49497.0,56572.0,52506.0
51171.0,47743.0,55437.0,53824.0
50336.0,49381.0,54847.0,53535.0
51186.0,49265.0,54803.0,52050.0
50123.0,49481.0,56329.0,50077.0
61024.0,58395.0,38257.0,35835.0
53669.0,51535.0,47164.0,49146.0
54551.0,51422.0,46902.0,46814.0
52691.0,49062.0,49797.0,47023.0
49098.0,49199.0,51585.0,46957.0
49125.0,46833.0,51498.0,48152.0
47227.0,46431.0,49706.0,50759.0
48192.0,46163.0,50617.0,49563.0
49481.0,44776.0,51482.0,47640.0
47656.0,45083.0,51501.0,48531.0
58265.0,57097.0,34017.0,32172.0
51395.0,49013.0,46669.0,45685.0
51259.0,47035.0,48994.0,45464.0
49855.0,46032.0,49541.0,47429.0
50193.0,44835.0,49059.0,48552.0
48174.0,45394.0,49688.0,49159.0
48266.0,44966.0,50695.0,48276.0
48257.0,44083.0,51092.0,48531.0
48264.0,43922.0,50847.0,49440.0
46517.0,44570.0,51850.0,49001.0
58324.0,56938.0,35500.0,30772.0
49549.0,48799.0,49522.0,44402.0
49180.0,47465.0,49875.0,46153.0
49565.0,46221.0,47534.0,48679.0
47677.0,47365.0,50121.0,46405.0
49425.0,45850.0,49385.0,47548.0
48316.0,44797.0,50565.0,48421.0
48974.0,43631.0,49980.0,49767.0
48931.0,45308.0,50549.0,48651.0
48651.0,45025.0,50661.0,49546.0
47593.0,45944.0,52352.0,48500.0
58663.0,57255.0,36108.0,31565.0
50689.0,50015.0,49846.0,45040.0
52221.0,48858.0,48269.0,47369.0
50860.0,49317.0,50204.0,46522.0
51003.0,46491.0,49956.0,49388.0
49780.0,46117.0,50968.0,49831.0
49664.0,47181.0,51711.0,48940.0
48810.0,46791.0,52666.0,49439.0
49868.0,46302.0,51890.0,50135.0
48909.0,47898.0,52826.0,48669.0
59306.0,58068.0,37282.0,32756.0
53941.0,52967.0,48235.0,43160.0
52081.0,50571.0,50164.0,45855.0
51734.0,49820.0,50508.0,46674.0
50452.0,49976.0,50102.0,48700.0
48874.0,49814.0,52804.0,48529.0
49541.0,48989.0,53286.0,48667.0
51070.0,47792.0,51881.0,49882.0
47410.0,51457.0,53219.0,48252.0
47866.0,49576.0,54713.0,47931.0
48280.0,49042.0,54604.0,48223.0
50263.0,48895.0,52916.0,48760.0
50050.0,51217.0,51850.0,48176.0
50082.0,51327.0,53267.0,46062.0
50804.0,50998.0,52563.0,46444.0
50868.0,50490.0,52721.0,47094.0
50235.0,50046.0,53388.0,47457.0
49982.0,51590.0,53837.0,45743.0
48810.0,51535.0,54560.0,46060.0
49406.0,50552.0,54182.0,47216.0
49025.0,49887.0,54546.0,48013.0
47964.0,50871.0,54864.0,47379.0
48694.0,51529.0,54575.0,45991.0
49955.0,49566.0,53498.0,47804.0
47304.0,50710.0,54564.0,46451.0
51617.0,50052.0,51011.0,47421.0
52316.0,50702.0,50863.0,45913.0
51060.0,50694.0,51675.0,45539.0
53224.0,50392.0,49612.0,46401.0
53590.0,49878.0,49644.0,47351.0
51068.0,51180.0,52589.0,45644.0
47920.0,52111.0,54963.0,45213.0
50157.0,51524.0,53539.0,46075.0
47998.0,51733.0,55272.0,45519.0
47705.0,51655.0,54991.0,45966.0
49032.0,51819.0,54294.0,45549.0
49860.0,52338.0,53311.0,44768.0
48230.0,52238.0,54601.0,44392.0
50560.0,52844.0,51881.0,44631.0
51011.0,51473.0,51510.0,44955.0
51813.0,51699.0,50943.0,43898.0
50277.0,51585.0,50992.0,45054.0
49919.0,50646.0,51853.0,44884.0
50759.0,49922.0,51096.0,45804.0
49713.0,50461.0,52012.0,45357.0
50113.0,50453.0,52064.0,45814.0
50414.0,50273.0,51231.0,46886.0
49014.0,50213.0,52680.0,46118.0
48847.0,50047.0,52973.0,46318.0
48833.0,51609.0,53105.0,44486.0
50492.0,51986.0,51647.0,44531.0
50194.0,51513.0,52360.0,45147.0
51040.0,52876.0,48057.0,48021.0
51094.0,51933.0,51585.0,44987.0
53462.0,51918.0,48953.0,45207.0
52115.0,52672.0,50703.0,44382.0
54183.0,50956.0,48264.0,47197.0
53042.0,53595.0,49275.0,43208.0
54228.0,52109.0,48114.0,45678.0
51359.0,51038.0,52489.0,45197.0
52474.0,51705.0,50199.0,46918.0
50792.0,52115.0,52612.0,45944.0
51399.0,55509.0,48256.0,45521.0
49966.0,53049.0,53163.0,45166.0
51925.0,52415.0,51586.0,45999.0
51898.0,53167.0,49287.0,48248.0
53564.0,52025.0,50365.0,46748.0
53482.0,52646.0,50819.0,46605.0
53398.0,54056.0,50835.0,44414.0
51343.0,54232.0,53409.0,44653.0
53570.0,52796.0,51169.0,46919.0
53753.0,52277.0,50810.0,47480.0
52238.0,54135.0,52545.0,45505.0
55271.0,53481.0,48143.0,45607.0
52072.0,53470.0,51768.0,45052.0
53071.0,53969.0,49297.0,45982.0
51608.0,52074.0,51015.0,47729.0
52577.0,50310.0,51627.0,47999.0
52953.0,51253.0,50670.0,48112.0
51810.0,52851.0,49987.0,48328.0
50937.0,51431.0,52252.0,47058.0
51656.0,51593.0,51686.0,46812.0
52918.0,52409.0,50286.0,44252.0
50836.0,52786.0,51217.0,43339.0
49854.0,54999.0,46839.0,43989.0
50196.0,50609.0,50216.0,44996.0
50510.0,49903.0,50246.0,45228.0
49063.0,49391.0,51285.0,45384.0
49192.0,48411.0,50995.0,46245.0
49095.0,49633.0,50662.0,45635.0
49081.0,48526.0,51071.0,46195.0
48681.0,47623.0,52210.0,46257.0
50357.0,50267.0,48633.0,45865.0
49505.0,47574.0,51416.0,47328.0
50389.0,49867.0,50705.0,45838.0
51693.0,49369.0,50233.0,46412.0
49651.0,51291.0,51911.0,44602.0
50873.0,49704.0,51556.0,46273.0
51907.0,49584.0,50730.0,47448.0
49863.0,50296.0,53315.0,47311.0
50193.0,51209.0,53451.0,46956.0
49769.0,51890.0,54381.0,46734.0
50366.0,52047.0,54156.0,47266.0
50812.0,51995.0,54071.0,47781.0
50237.0,52575.0,54766.0,47475.0
51654.0,51091.0,54026.0,49374.0
49364.0,53504.0,56028.0,46880.0
53586.0,51546.0,52579.0,49416.0
52736.0,52244.0,53370.0,48706.0
54995.0,51330.0,51327.0,49997.0
55669.0,52217.0,50971.0,49639.0
54704.0,52690.0,51986.0,48772.0
55465.0,51984.0,51140.0,50055.0
55038.0,51340.0,51835.0,50204.0
55893.0,50846.0,50065.0,50534.0
51054.0,50700.0,53894.0,48473.0
51585.0,49972.0,53434.0,47841.0
49354.0,51730.0,54418.0,46433.0
50392.0,51341.0,53464.0,46325.0
50290.0,52028.0,53559.0,46074.0
49773.0,53266.0,54055.0,44613.0
51126.0,52424.0,53083.0,45617.0
51277.0,51901.0,52629.0,45818.0
52583.0,51479.0,51528.0,46545.0
51882.0,51074.0,51871.0,46722.0
50585.0,50280.0,53158.0,47252.0
53569.0,50776.0,50718.0,47636.0
53051.0,50442.0,51925.0,48178.0
50695.0,49775.0,53775.0,48372.0
51841.0,49391.0,52752.0,48893.0
51306.0,49081.0,53959.0,48921.0
52368.0,50095.0,52788.0,48294.0
50533.0,50642.0,54406.0,47641.0
49772.0,51773.0,54950.0,46476.0
50283.0,52841.0,54265.0,45418.0
52118.0,52904.0,53312.0,45639.0
51932.0,52169.0,53636.0,46698.0
53592.0,51817.0,51736.0,47351.0
53182.0,51363.0,52342.0,47664.0
53056.0,51652.0,52474.0,47295.0
53448.0,52183.0,52136.0,46696.0
52954.0,52372.0,52226.0,46605.0
52236.0,53094.0,52587.0,46311.0
53537.0,50348.0,52033.0,48581.0
51444.0,50854.0,53455.0,47651.0
52893.0,49301.0,51933.0,48940.0
50940.0,49848.0,53557.0,48187.0
51074.0,50122.0,53297.0,47452.0
50802.0,50549.0,53530.0,46808.0
50312.0,51603.0,53961.0,45659.0
50649.0,52017.0,53626.0,44914.0
50680.0,51930.0,53787.0,45281.0
51001.0,51850.0,53181.0,46418.0
52800.0,50672.0,52092.0,46647.0
51854.0,51675.0,52399.0,45386.0
50249.0,54772.0,50634.0,42721.0
51267.0,51327.0,51129.0,45541.0
52279.0,53277.0,50207.0,39997.0
53106.0,52232.0,47362.0,40776.0
50726.0,49739.0,49618.0,43954.0
49234.0,49682.0,48714.0,42405.0
49092.0,45731.0,49856.0,44318.0
48736.0,46913.0,48652.0,43406.0
47922.0,46234.0,47680.0,44580.0
47648.0,44437.0,48562.0,45260.0
47955.0,47657.0,47285.0,40538.0
48254.0,47851.0,45544.0,39032.0
46809.0,45235.0,46867.0,41643.0
45425.0,45362.0,46633.0,41212.0
46866.0,43927.0,46295.0,39629.0
44778.0,48230.0,46128.0,35069.0
43932.0,44357.0,47094.0,39627.0
45237.0,44529.0,43963.0,38813.0
45370.0,44766.0,43649.0,36946.0
43125.0,43369.0,44404.0,36786.0
41800.0,41385.0,45614.0,39062.0
38951.0,45627.0,46455.0,32695.0
40341.0,41252.0,45872.0,38052.0
42950.0,44701.0,42717.0,33176.0
40318.0,44947.0,43284.0,32818.0
35488.0,40258.0,47011.0,37572.0
37261.0,42384.0,45699.0,33419.0
40600.0,41639.0,43197.0,35459.0
38501.0,40694.0,43134.0,35768.0
34476.0,40791.0,47010.0,34697.0
38673.0,41891.0,42594.0,31888.0
40605.0,41085.0,38280.0,35562.0
38189.0,41405.0,42944.0,33421.0
37002.0,40577.0,43641.0,34770.0
41883.0,41236.0,40063.0,33463.0
40903.0,39621.0,42312.0,36521.0
42533.0,41601.0,41604.0,35135.0
40221.0,38782.0,43408.0,40697.0
34101.0,42566.0,49344.0,35114.0
44150.0,40398.0,41692.0,38465.0
38238.0,42053.0,47813.0,37345.0
42649.0,43413.0,43870.0,38651.0
40226.0,44247.0,47970.0,37564.0
40362.0,44952.0,49349.0,38450.0
45528.0,45456.0,45688.0,39330.0
43720.0,46774.0,47925.0,40122.0
44443.0,46566.0,49039.0,40889.0
48833.0,46791.0,46724.0,42144.0
49286.0,49063.0,48025.0,41326.0
47387.0,48580.0,50349.0,44162.0
51679.0,48690.0,47691.0,44187.0
52898.0,44917.0,47804.0,49282.0
50449.0,48537.0,51759.0,47189.0
49445.0,50082.0,53189.0,47653.0
52173.0,48551.0,52735.0,49982.0
53108.0,51135.0,53345.0,48508.0
53639.0,51220.0,53281.0,49859.0
54652.0,51527.0,53340.0,50881.0
55968.0,52446.0,53042.0,51052.0
56392.0,53392.0,54250.0,50917.0
56301.0,54537.0,54585.0,51020.0
57875.0,52367.0,52605.0,53710.0
58744.0,53162.0,52256.0,53627.0
58050.0,53558.0,53941.0,53357.0
57703.0,54823.0,54617.0,53235.0
56162.0,55413.0,56126.0,53141.0
56048.0,55439.0,56761.0,53627.0
55281.0,55135.0,57814.0,54624.0
57211.0,54575.0,57799.0,55617.0
57613.0,54991.0,57204.0,56389.0
58593.0,55638.0,56353.0,56546.0
59201.0,54543.0,57046.0,57226.0
58750.0,56173.0,57803.0,56740.0
57992.0,56697.0,58173.0,56734.0
60284.0,55656.0,56238.0,58238.0
59567.0,55284.0,57297.0,57969.0
57675.0,54557.0,58783.0,59308.0
57307.0,54185.0,59079.0,59491.0
